location,site,year1stTag,tag,plot,dah.yr0,dah.yr1,dah.yr1.max,height.yr0,height.yr1,stems.yr0,stems.yr1,yr0,dens.cont.yr0,densEffect.yr0,dah.superclass.yr0,mortality.yr1,name,nhlc
unh,eff,2010,257,107,0.97,1.1,NA,182,209,1,2,2010,15,8,B,NA,eff107,NA
unh,eff,2010,258,107,0.43,0.58,NA,79,96,1,2,2010,15,14,A,NA,eff107,NA
unh,eff,2010,259,107,0.46,0.51,NA,75,91,1,1,2010,15,14,A,NA,eff107,NA
unh,eff,2010,260,109,1.08,1.12,NA,184,184,1,1,2010,13,10,B,NA,eff109,NA
unh,eff,2010,261,109,0.3,0.32,NA,62,70,2,2,2010,13,12,A,NA,eff109,NA
unh,eff,2010,262,109,2.03,2.34,NA,343,370,1,1,2010,13,0,C,NA,eff109,NA
unh,eff,2010,263,114,1.71,1.67,NA,289,290,2,2,2010,11,1,B,NA,eff114,NA
unh,eff,2010,264,114,0.8,0.67,NA,134,137,1,1,2010,11,4,B,NA,eff114,NA
unh,eff,2010,265,114,0.21,0.22,NA,36,39,1,1,2010,11,10,A,NA,eff114,NA
unh,eff,2010,266,114,0.43,0.4,NA,64,73,4,1,2010,11,10,A,NA,eff114,NA
unh,eff,2010,201,12,0.16,0.19,NA,19,27,1,1,2010,4,3,A,NA,eff12,NA
unh,eff,2010,267,120,0.93,1.09,NA,200,170,1,1,2010,2,1,B,NA,eff120,NA
unh,eff,2010,346,122,0.49,0.54,NA,75,92,1,2,2010,12,11,A,NA,eff122,NA
unh,eff,2010,347,122,0.34,0.35,NA,42,45,1,4,2010,12,11,A,NA,eff122,NA
unh,eff,2010,268,123,2.31,2.61,NA,350,401,3,2,2010,7,0,C,NA,eff123,NA
unh,eff,2010,269,123,0.27,0.31,NA,40,57,1,2,2010,7,6,A,NA,eff123,NA
unh,eff,2010,270,123,0.56,0.62,NA,106,121,1,1,2010,7,3,B,NA,eff123,NA
unh,eff,2010,271,123,0.32,0.34,NA,41,51,1,1,2010,7,6,A,NA,eff123,NA
unh,eff,2010,272,125,0.94,1.08,NA,163,187,2,2,2010,14,1,B,NA,eff125,NA
unh,eff,2010,273,125,0.67,0.69,NA,95,116,1,1,2010,14,7,B,NA,eff125,NA
unh,eff,2010,274,125,0.36,0.49,NA,27,81,2,1,2010,14,13,A,NA,eff125,NA
unh,eff,2010,275,125,0.3,0.32,NA,45,57,1,1,2010,14,13,A,NA,eff125,NA
unh,eff,2010,276,129,0.71,0.74,NA,147,159,1,1,2010,8,4,B,NA,eff129,NA
unh,eff,2010,277,129,0.25,0.35,NA,26,47,1,1,2010,8,7,A,NA,eff129,NA
unh,eff,2010,202,13,0.38,0.39,NA,20,27,1,1,2010,1,0,A,0,eff13,NA
unh,eff,2010,278,130,2.92,3.28,NA,400,401,1,2,2010,13,0,C,NA,eff130,NA
unh,eff,2010,279,130,0.84,0.85,NA,199,212,1,1,2010,13,8,B,NA,eff130,NA
unh,eff,2010,280,130,0.35,0.3,NA,35,46,1,1,2010,13,12,A,NA,eff130,NA
unh,eff,2010,281,130,0.28,0.38,NA,42,59,1,1,2010,13,12,A,NA,eff130,NA
unh,eff,2010,282,137,0.32,0.19,NA,51,33,3,3,2010,10,9,A,NA,eff137,NA
unh,eff,2010,283,137,0.9,1.04,NA,151,170,1,1,2010,10,4,B,NA,eff137,NA
unh,eff,2010,284,137,0.3,0.31,NA,41,61,1,1,2010,10,9,A,NA,eff137,NA
unh,eff,2010,285,137,1.57,1.75,NA,244,265,4,5,2010,10,2,B,NA,eff137,NA
unh,eff,2010,286,139,0.23,0.25,NA,34,45,1,1,2010,11,10,A,NA,eff139,NA
unh,eff,2010,287,139,0.77,0.82,NA,230,240,3,4,2010,11,5,B,NA,eff139,NA
unh,eff,2010,288,142,0.32,0.33,NA,47,51,1,1,2010,8,7,A,NA,eff142,NA
unh,eff,2010,289,142,0.48,0.46,NA,81,93,1,1,2010,8,4,A,NA,eff142,NA
unh,eff,2010,348,143,0.28,0.35,NA,60,65,2,2,2010,7,6,A,NA,eff143,NA
unh,eff,2010,349,143,0.21,0.24,NA,36,47,1,2,2010,7,6,A,NA,eff143,NA
unh,eff,2010,290,144,1.5,1.65,NA,267,326,4,4,2010,10,0,B,NA,eff144,NA
unh,eff,2010,291,144,0.4,0.42,NA,42,69,1,1,2010,10,9,A,NA,eff144,NA
unh,eff,2010,292,144,0.73,0.75,NA,147,152,3,3,2010,10,4,B,NA,eff144,NA
unh,eff,2010,293,144,0.22,0.26,NA,28,37,1,1,2010,10,9,A,NA,eff144,NA
unh,eff,2010,295,159,0.56,0.6,NA,119,124,1,3,2010,12,8,B,NA,eff159,NA
unh,eff,2010,296,159,0.3,0.34,NA,42,64,1,1,2010,12,11,A,NA,eff159,NA
unh,eff,2010,297,159,0.45,0.56,NA,73,101,1,1,2010,12,11,A,NA,eff159,NA
unh,eff,2010,294,160,2.7,3.35,NA,348,380,1,1,2010,4,0,C,NA,eff160,NA
unh,eff,2010,298,169,0.23,0.25,NA,24,34,1,1,2010,10,9,A,NA,eff169,NA
unh,eff,2010,299,169,0.32,0.41,NA,39,62,1,3,2010,10,9,A,NA,eff169,NA
unh,eff,2010,301,169,0.52,0.58,NA,98,105,1,1,2010,10,6,B,NA,eff169,NA
unh,eff,2010,302,169,1.05,1.32,NA,189,223,1,5,2010,10,0,B,NA,eff169,NA
unh,eff,2010,303,172,0.8,0.85,NA,115,155,1,1,2010,6,5,B,NA,eff172,NA
unh,eff,2010,304,172,0.3,0.37,NA,41,71,2,2,2010,6,5,A,NA,eff172,NA
unh,eff,2010,305,175,0.34,0.42,NA,61,70,1,1,2010,5,4,A,NA,eff175,NA
unh,eff,2010,306,175,1.01,1.14,NA,174,193,1,1,2010,5,2,B,NA,eff175,NA
