Plant,y1,y2,hgt_y1,hgt_y2,hgt_d,nFrt_y1,nFrt_y2,nFrt_d,nSdFrt_y1,nSdFrt_y2,nSdFrt_d,nSd_y1,nSd_y2,nSd_d
LH1,2015,2016,47,151,104,0,2538,2538,0,2.37,2.37,0,6004,6004
LH2,2015,2016,53,164,111,0,3070,3070,0,2.54,2.54,0,7796,7796
LH3,2015,2016,46,172,126,0,698,698,0,2.79,2.79,0,1949,1949
LH4,2015,2016,51,196,145,0,2513,2513,0,2.48,2.48,0,6228,6228
LH5,2015,2016,45,203,158,0,644,644,0,2.53,2.53,0,1631,1631
LH6,2015,2016,29,176,147,0,1916,1916,0,2.72,2.72,0,5220,5220
LH7,2015,2016,25,139,114,0,683,683,0,2.27,2.27,0,1553,1553
LH8,2015,2016,34,190,156,0,1787,1787,0,2.58,2.58,0,4619,4619
LH9,2015,2016,33,158,125,0,2743,2743,0,2.6,2.6,0,7121,7121
LH10,2015,2016,57,109,52,0,2088,2088,0,2.78,2.78,0,5798,5798
LH11,2015,2016,70,188,118,0,3647,3647,0,2.45,2.45,0,8931,8931
LH12,2015,2016,20,180,160,0,626,626,0,2.69,2.69,0,1681,1681
LH13,2015,2016,23,158,135,0,1171,1171,0,2.58,2.58,0,3024,3024
LH14,2015,2016,81,220,139,0,2978,2978,0,2.56,2.56,0,7624,7624
LH15,2015,2016,59,219,160,0,1491,1491,0,2.62,2.62,0,3905,3905
LH1,2016,2017,151,173,22,2538,1723,-815,2.37,2.32,-0.05,6004,3997,-2007
LH2,2016,2017,164,240,76,3070,695,-2375,2.54,2.48,-0.06,7796,1724,-6072
LH3,2016,2017,172,244,72,698,1741,1043,2.79,2.52,-0.27,1949,4387,2438
LH4,2016,2017,196,213,17,2513,1673,-840,2.48,2.4,-0.08,6228,4015,-2213
LH5,2016,2017,203,292,89,644,1639,995,2.53,2.2,-0.33,1631,3606,1975
LH6,2016,2017,176,202,26,1916,2545,629,2.72,2.44,-0.28,5220,6210,990
LH7,2016,2017,139,194,55,683,1823,1140,2.27,2.36,0.09,1553,4302,2749
LH8,2016,2017,190,294,104,1787,1697,-90,2.58,2.12,-0.46,4619,3598,-1021
LH9,2016,2017,158,232,74,2743,3260,517,2.6,2.16,-0.44,7121,7042,-79
LH10,2016,2017,109,197,88,2088,1596,-492,2.78,2.44,-0.34,5798,3894,-1904
LH11,2016,2017,188,229,41,3647,3541,-106,2.45,2.6,0.15,8931,9207,276
LH12,2016,2017,180,290,110,626,1071,445,2.69,2.6,-0.09,1681,2785,1104
LH13,2016,2017,158,199,41,1171,1360,189,2.58,2.4,-0.18,3024,3264,240
LH14,2016,2017,220,297,77,2978,4449,1471,2.56,2.32,-0.24,7624,10322,2698
LH15,2016,2017,219,291,72,1491,1032,-459,2.62,2.44,-0.18,3905,2518,-1387
